仓库编码,仓库名称,仓库类型,仓库层级,仓库服务商,状态,国家,省市区,详细地址,邮编,负责人,联系电话,备注,是否实体仓,是否需清关,申报地海关,对应口岸,区间企业,账册编码,创建人,创建时间,更新人,更新时间,仓储货代,外部编码,是否自动生成核注清单,是否需核放申报
AA25070018,3LAB郑州天猫平台仓-美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-07 16:28:18,小龙,2025-11-04 14:06:05,菜鸟,G499,否,否
AA25070017,3LAB郑州小红书平台仓-美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-07 16:27:53,小龙,2025-11-04 14:04:29,菜鸟,G498,否,否
AA25070048,GLO郑州自贸达中心仓-美专,保税仓,区域仓,菜鸟中心仓,启用,中国,,,,,,,是,否,,,,,,2025-07-07 20:30:02,小龙,2025-11-04 11:38:44,菜鸟,G485,否,否
AA25110001,瑞维斐鲸芽代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-11-03 16:05:39,,2025-11-03 16:05:39,,C182,否,否
AA25100060,H&B品牌-线下零售虚拟仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-31 15:01:43,,2025-10-31 15:01:43,,C181,否,否
AA25100063,C178,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-31 16:00:03,,2025-10-31 16:00:03,,C178,否,否
AA25100062,C179,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-31 15:19:05,,2025-10-31 15:19:05,,C179,否,否
AA25100061,水羊堂小程序平潭有好货中心-美专,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-31 15:07:59,,2025-10-31 15:07:59,,C177,否,否
AA25100059,露比黎登旗舰店闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 18:42:42,,2025-10-29 18:42:42,,C175,否,否
AA25100058,强生美肌旗舰店闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 18:41:45,,2025-10-29 18:41:45,,C176,否,否
AA25100057,水羊内购-郑州心怡仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 18:39:28,,2025-10-29 18:39:28,,G610,否,否
AA25100056,水羊内购-郑州心怡仓美专,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 18:38:29,,2025-10-29 18:38:29,,G611,否,否
AA25100055,JOHN BELL & CROYDEN (BESTWAY),保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:44:26,,2025-10-29 16:44:26,,D01313,否,否
AA25100054,INTERFARM,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:44:13,,2025-10-29 16:44:13,,D01314,否,否
AA25100053,APPAREL,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:44:09,,2025-10-29 16:44:09,,D01315,否,否
AA25100052,KURS RUSSIA,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:44:01,,2025-10-29 16:44:01,,D01316,否,否
AA25100051,AMAZON.COM CONSIGNMENT STOCK,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:55,,2025-10-29 16:43:55,,D01317,否,否
AA25100050,AMAZON.COM,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:49,,2025-10-29 16:43:49,,D01318,否,否
AA25100049,TJX CANADA,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:44,,2025-10-29 16:43:44,,D01319,否,否
AA25100048,AMAZON.ES,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:39,,2025-10-29 16:43:39,,D01320,否,否
AA25100047,AMAZON.FR,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:35,,2025-10-29 16:43:35,,D01321,否,否
AA25100046,SHOPIFY WEB SALES UK,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:30,,2025-10-29 16:43:30,,D01322,否,否
AA25100045,NEXT RETAIL LIMITED,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:25,,2025-10-29 16:43:25,,D01323,否,否
AA25100044,FAIRE.COM UK SITE,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:20,,2025-10-29 16:43:20,,D01324,否,否
AA25100043,AMAZON.DE,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:10,,2025-10-29 16:43:10,,D01325,否,否
AA25100042,REBRO COSMETICS,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:43:05,,2025-10-29 16:43:05,,D01326,否,否
AA25100041,AMAZON.IT,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:54,,2025-10-29 16:42:54,,D01327,否,否
AA25100040,AMAZON CANADA,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:48,,2025-10-29 16:42:48,,D01328,否,否
AA25100039,THRESHOLD ENTERPRISES,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:43,,2025-10-29 16:42:43,,D01329,否,否
AA25100038,FRAGONITO S.R.O.,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:39,,2025-10-29 16:42:39,,D01330,否,否
AA25100037,LLC FJPOMADES,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:31,,2025-10-29 16:42:31,,D01331,否,否
AA25100036,WH SMITH TRAVEL LIMITED,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:24,,2025-10-29 16:42:24,,D01332,否,否
AA25100035,GBSO SOLUTIONS,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:20,,2025-10-29 16:42:20,,D01333,否,否
AA25100034,OCADO.COM,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:15,,2025-10-29 16:42:15,,D01334,否,否
AA25100033,PERFOSAN AG,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:10,,2025-10-29 16:42:10,,D01335,否,否
AA25100032,JD WILLIAMS & CO LIMITED,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:05,,2025-10-29 16:42:05,,D01336,否,否
AA25100031,ONE BEAUTY,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:42:00,,2025-10-29 16:42:00,,D01337,否,否
AA25100030,"LOTUS LIGHT ENTERPRISES, INC.",保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:55,,2025-10-29 16:41:55,,D01338,否,否
AA25100029,TJX USD,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:50,,2025-10-29 16:41:50,,D01339,否,否
AA25100028,SHOPIFY WEB SALES USA,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:46,,2025-10-29 16:41:46,,D01340,否,否
AA25100027,AMAZON.CO.UK,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:40,,2025-10-29 16:41:40,,D01341,否,否
AA25100026,FRAGONITO CZ,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:36,,2025-10-29 16:41:36,,D01342,否,否
AA25100025,MACY'S INC,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:32,,2025-10-29 16:41:32,,D01343,否,否
AA25100024,NEXT BEAUTY,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:27,,2025-10-29 16:41:27,,D01344,否,否
AA25100023,FAIRE.COM,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:22,,2025-10-29 16:41:22,,D01345,否,否
AA25100022,TJX UK,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:18,,2025-10-29 16:41:18,,D01346,否,否
AA25100021,AMAZON EU SARL UK BRANCH,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-29 16:41:13,,2025-10-29 16:41:13,,D01347,否,否
AA25100020,可伶可俐旗舰店闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-28 18:29:13,,2025-10-28 18:29:13,,C174,否,否
AA25100019,北京华联长沙水羊堂代销多品牌,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-28 16:47:37,,2025-10-28 16:47:37,,C173,否,否
AA25100018,PA法国线下MUSOLINO,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-28 15:02:34,,2025-10-28 15:02:34,,D01312,否,否
ZYBC001,长沙拙燕保税仓（新）,保税仓,区域仓,拙燕仓,启用,中国,湖南省长沙市长沙县,湖南省长沙市黄花镇黄花机场综合保税区9号仓,,,,,是,是,黄花综保,长沙黄花综合保税区,湖南拙燕仓跨境供应链管理有限公司,T4921W000124,千凡,2022-03-31 14:06:10,诺涵,2025-10-24 18:31:04,拙燕跨境供应链,C152,是,是
AA25100017,水羊国际线下展会-多品牌,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-24 17:01:41,,2025-10-24 17:01:41,,C172,否,否
AA25100016,小迷糊唯品会3PL仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-24 15:29:04,,2025-10-24 15:29:04,,C510,否,否
AA25100015,上海中免日上湖南御强多品牌代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-21 11:23:21,,2025-10-21 11:23:21,,C171,否,否
AA25100014,comfortzone菜园中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-21 09:48:29,,2025-10-21 09:48:29,,G609,否,否
AA25100013,伊菲丹广百中怡商品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-15 11:55:18,,2025-10-15 11:55:18,,C168,否,否
AA25100012,伊菲丹广百中怡SPA房仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-15 11:54:17,,2025-10-15 11:54:17,,C169,否,否
AA25100011,伊菲丹广百中怡试用仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-15 11:53:25,,2025-10-15 11:53:25,,C170,否,否
AA25100010,伊菲丹常州购物中心商品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-15 11:51:14,,2025-10-15 11:51:14,,C165,否,否
AA25100009,伊菲丹常州购物中心试用仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-15 11:49:51,,2025-10-15 11:49:51,,C167,否,否
AA25100008,伊菲丹常州购物中心SPA房仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-15 11:49:20,,2025-10-15 11:49:20,,C166,否,否
AA25100007,石祥银泰百货-水羊堂-多品牌,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-14 18:28:15,,2025-10-14 18:28:15,,C496,否,否
AA25100006,气味上海水羊堂-多品牌,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-13 18:31:02,,2025-10-13 18:31:02,,C497,否,否
AA25080020,LORDBERRY温州菜鸟中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-08-25 15:59:07,揽月,2025-10-11 12:23:33,菜鸟,G574,否,否
AA25100005,ESI唯品会郑州保税仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-11 10:06:22,,2025-10-11 10:06:22,,G608,否,否
AA25100004,Legology郑州菜鸟中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,欣悦,2025-10-10 09:31:35,欣悦,2025-10-10 09:32:04,自贸达,G601,否,否
AA25100003,香水KA多品牌-AMOUAGE,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-09 16:32:15,,2025-10-09 16:32:15,,C783,否,否
AA25100002,线下展会虚拟仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-09 16:25:46,,2025-10-09 16:25:46,,C498,否,否
AA25100001,ESI品牌-唯品会,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-10-09 11:49:10,,2025-10-09 11:49:10,,G607,否,否
AA25090048,comfort zone菜鸟菜园,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-30 14:17:42,,2025-09-30 14:17:42,,G606,否,否
AA25090047,美斯蒂克天猫国际直营店-寄售,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-26 10:00:02,,2025-09-26 10:00:02,,G604,否,否
AA25090046,赫美蒂嘉郑州心怡菜鸟仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-25 19:32:24,,2025-09-25 19:32:24,,G603,否,否
AA25090045,李施德林旗舰店-闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-25 19:31:30,,2025-09-25 19:31:30,,C499,否,否
AA25090044,JuiceBeauty红书-美专,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-25 19:30:58,,2025-09-25 19:30:58,,G605,否,否
AA25090043,章小蕙多品牌跨境代销仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-25 16:25:25,,2025-09-25 16:25:25,,E938,否,否
AA25090042,MAJDA郑州心怡中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 18:27:53,,2025-09-24 18:27:53,,G602,否,否
AA25090041,MAJDA郑州心怡菜鸟仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 18:27:42,,2025-09-24 18:27:42,,G601,否,否
AA25090040,TMOV-分销共享菜园代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 13:45:39,,2025-09-24 13:45:39,,G597,否,否
AA25090039,Nobile1942分销共享菜园,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 13:44:41,,2025-09-24 13:44:41,,G598,否,否
AA25090038,JOLOVES分销共享菜园,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 13:41:31,,2025-09-24 13:41:31,,G599,否,否
AA25090037,LABEAU郑州心怡菜鸟保税仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 09:11:48,,2025-09-24 09:11:48,,G596,否,否
AA25090036,水羊堂郑州心怡小程序仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 09:11:04,,2025-09-24 09:11:04,,C536,否,否
AA25090035,水羊堂长沙IFS国金店样品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-24 09:01:39,,2025-09-24 09:01:39,,C155,否,否
AA25090034,露得清官方旗舰店-闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-23 10:14:09,,2025-09-23 10:14:09,,C996,否,否
AA25090033,城野医生旗舰店-闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-23 10:13:30,,2025-09-23 10:13:30,,C995,否,否
AA25090032,AMOUAGE郑州丹尼斯商品库,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-23 10:11:46,,2025-09-23 10:11:46,,C997,否,否
AA25090031,AMOUAGE郑州丹尼斯试用装库,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-23 10:11:06,,2025-09-23 10:11:06,,C589,否,否
AA25090030,MG新郑全速通抖音仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-22 15:04:14,,2025-09-22 15:04:14,,G595,否,否
AA25090029,美斯蒂克天猫国际直营店寄售仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-19 10:54:58,,2025-09-19 10:54:58,,G594,否,否
AA25090028,revitalash郑州美专菜园,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-19 09:07:58,,2025-09-19 09:07:58,,G593,否,否
AA25090027,大宝官方旗舰店-闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-17 15:57:52,,2025-09-17 15:57:52,,C994,否,否
AA25090026,强生婴儿旗舰店-闪购仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-17 15:57:21,,2025-09-17 15:57:21,,C993,否,否
AA25090025,Jo Loves郑州心怡菜鸟仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-17 15:56:06,,2025-09-17 15:56:06,,G591,否,否
AA25090024,Jo Loves郑州心怡中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-17 15:55:56,,2025-09-17 15:55:56,,G592,否,否
AA25090023,水羊宇培退货仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-17 13:54:20,,2025-09-17 13:54:20,,C992,否,否
AA25090022,美斯蒂克香港菜鸟自营仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-16 16:16:13,,2025-09-16 16:16:13,,G590,否,否
AA25090021,水羊堂平潭小红书菜鸟中心仓-美专,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-15 12:00:48,,2025-09-15 12:00:48,,G589,否,否
AA25090020,新零售香水-分销菜园中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-15 10:01:38,,2025-09-15 10:01:38,,G588,否,否
AA25090019,ZELENS菜园分销中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-15 10:00:56,,2025-09-15 10:00:56,,G587,否,否
AA25090018,GLOSKINBEA多品牌代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-10 12:39:00,,2025-09-10 12:39:00,,G584,否,否
AA25090017,Amouage海外京东自营代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-10 10:23:21,,2025-09-10 10:23:21,,G586,否,否
AA25080001,佩尔赫乔-法国谷仓-G16353,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-08-04 13:47:56,,2025-08-04 13:47:56,,G558,否,否
AA24090006,非保赠品虚拟调拨仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2024-09-10 11:49:35,诺涵,2025-09-09 17:49:19,自贸达,C998,否,是
AA25090016,伊菲丹大连麦凯乐,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-09 14:42:13,,2025-09-09 14:42:13,,D01286,否,否
AA25090015,伊菲丹的翼礼品,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-09 11:55:48,,2025-09-09 11:55:48,,D01281,否,否
AA25090014,伊菲丹的翼CS百强,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-09 11:47:33,,2025-09-09 11:47:33,,D01284,否,否
AA25090013,伊菲丹的翼企业,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-09 11:46:57,,2025-09-09 11:46:57,,D01283,否,否
AA25090012,水羊堂小红书郑州心怡菜鸟中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-08 19:17:21,,2025-09-08 19:17:21,,G585,否,否
AA25090011,露得清天猫国际全球探物代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-08 11:49:01,,2025-09-08 11:49:01,,G579,否,否
AA25090010,天猫水羊堂郑州心怡菜鸟保税仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-08 10:31:53,,2025-09-08 10:31:53,,G582,否,否
AA25090009,天猫水羊堂郑州心怡菜鸟中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-08 10:31:35,,2025-09-08 10:31:35,,G583,否,否
AA25090008,LABEAU郑州心怡菜鸟中心仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-05 17:28:13,,2025-09-05 17:28:13,,G580,否,否
AA25090007,BIRETIX天猫国际探物代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-05 15:16:31,,2025-09-05 15:16:31,,G578,否,否
AA25090006,ZELENS菜鸟共享菜园代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-05 14:03:17,,2025-09-05 14:03:17,,G581,否,否
AA25090005,PERFECTADNET-香港水羊-HINCE-渠道仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-04 11:41:33,,2025-09-04 11:41:33,,,否,否
AA25090004,伊菲丹大连麦凯乐试用品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-03 16:41:13,,2025-09-03 16:41:13,,C991,否,否
AA25090003,伊菲丹大连麦凯乐产品仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-03 15:42:02,,2025-09-03 15:42:02,,C989,否,否
AA25090002,大连麦凯乐伊菲丹店SPA仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-03 15:39:39,,2025-09-03 15:39:39,,C990,否,否
AA25070091,Mesoestetic香港骏多拉,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-23 18:27:05,图筱,2025-09-03 13:53:06,菜鸟,G552,否,否
AA25080005,ORLANE郑州自贸达中间仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-08-13 18:51:27,图筱,2025-09-03 13:44:34,自贸达,G560,否,否
AA25070052,GLO郑州自贸达中间仓美专,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,,,,,,2025-07-07 20:30:03,图筱,2025-09-03 13:44:10,自贸达,G479,否,否
AA25090001,3LAB共享菜园代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-09-01 10:27:29,,2025-09-01 10:27:29,,G577,否,否
AA25080022,H&B品牌天猫国际进口超市代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-08-28 16:14:09,,2025-08-28 16:14:09,,G576,否,否
AA25080021,Blinc郑州菜鸟仓,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-08-26 10:46:21,,2025-08-26 10:46:21,,G575,否,否
AA25080019,ZELENS得物商家直发仓代销,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-08-22 16:07:36,,2025-08-22 16:07:36,,G573,否,否
AA23110003,水羊国际拼多多长沙菜鸟中心仓,保税仓,区域仓,其他,启用,中国,,,,,,,是,否,黄花综保,,湖南拙燕仓跨境电子商务有限公司,,,2023-11-28 15:23:41,诺涵,2025-08-22 10:01:59,菜鸟,G113,否,是
AA25080017,福建平潭内购仓-美专,保税仓,区域仓,其他,启用,,,,,,,,是,否,,,,,,2025-08-20 09:14:41,,2025-08-20 09:14:41,,G572,否,否
